Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held
UDR Inc.,UDR,90265310,2727910,0.04803,Real Estate,3265437
NVR Inc.,NVR,62944T10,2637785,0.046902,Consumer Discretionary,38788
Nucor Corporation,NUE,67034610,2651086,0.046809,Materials,3394981
Masco Corporation,MAS,57459910,2570200,0.04653,Industrials,3170534
Freeport-McMoRan Inc.,FCX,35671D85,2352118,0.046443,Materials,16162501
CarMax Inc.,KMX,14313010,2983563,0.046375,Consumer Discretionary,1851817
Cboe Global Markets Inc,CBOE,12503M10,B5834C5,0.04633,Financials,1240950
Brown-Forman Corporation Class B,BF.B,11563720,2146838,0.046112,Consumer Staples,2029145
ONEOK Inc.,OKE,68268010,2130109,0.045921,Energy,4585712
Genuine Parts Company,GPC,37246010,2367480,0.045724,Consumer Discretionary,1620467
Tractor Supply Company,TSCO,89235610,2900335,0.045638,Consumer Discretionary,1329876
Varian Medical Systems Inc.,VAR,92220P10,2927516,0.045072,Health Care,1013132
Qorvo Inc.,QRVO,74736K10,BR9YYP4,0.044986,Information Technology,1310737
NetApp Inc.,NTAP,64110D10,2630643,0.044489,Information Technology,2549464
Regions Financial Corporation,RF,7591EP10,B01R311,0.043633,Financials,10775697
Hess Corporation,HES,42809H10,2023748,0.043515,Energy,2885896
IDEX Corporation,IEX,45167R10,2456612,0.043096,Industrials,833273
Gartner Inc.,IT,36665110,2372763,0.0428,Information Technology,990446
Westinghouse Air Brake Technologies Corporation,WAB,92974010,2955733,0.042175,Industrials,2031174
Celanese Corporation,CE,15087010,B05MZT4,0.041892,Materials,1349219
Hologic Inc.,HOLX,43644010,2433530,0.041689,Health Care,2980987
Host Hotels & Resorts Inc.,HST,44107P10,2567503,0.041678,Real Estate,8136857
NiSource Inc,NI,65473P10,2645409,0.041675,Utilities,4129433
Loews Corporation,L,54042410,2523022,0.041541,Financials,2853800
Allegion PLC,ALLE,G0176J10,BFRT3W7,0.041444,Industrials,1041719
Citizens Financial Group Inc.,CFG,17461010,BQRX1X3,0.041368,Financials,4856739
C.H. Robinson Worldwide Inc.,CHRW,12541W20,2116228,0.041197,Industrials,1520936
Concho Resources Inc.,CXO,20605P10,B1YWRK7,0.041007,Energy,2226621
CenturyLink Inc.,CTL,15670010,2185046,0.040854,Communication Services,10697741
Expedia Group Inc.,EXPE,30212P30,B748CK2,0.040814,Consumer Discretionary,1541421
AES Corporation,AES,00130H10,2002479,0.0408,Utilities,7351849
Pinnacle West Capital Corporation,PNW,72348410,2048804,0.0408,Utilities,1250956
SVB Financial Group,SIVB,78486Q10,2808053,0.040642,Financials,576377
DENTSPLY SIRONA Inc.,XRAY,24906P10,BYNPPC6,0.040481,Health Care,2499333
Huntington Bancshares Incorporated,HBAN,44615010,2445966,0.040428,Financials,11569957
Western Union Company,WU,95980210,B1F76F9,0.040323,Information Technology,4724989
Fox Corporation Class A,FOXA,35137L10,BJJMGL2,0.040156,Communication Services,3911992
Principal Financial Group Inc.,PFG,74251V10,2803014,0.040082,Financials,2880423
PerkinElmer Inc.,PKI,71404610,2305844,0.039969,Health Care,1230586
Hasbro Inc.,HAS,41805610,2414580,0.039891,Consumer Discretionary,1420979
Avery Dennison Corporation,AVY,5361110,2066408,0.039355,Materials,938667
Lamb Weston Holdings Inc.,LW,51327210,BDQZFJ3,0.039343,Consumer Staples,1626520
Packaging Corporation of America,PKG,69515610,2504566,0.037667,Materials,1049949
E*TRADE Financial Corporation,ETFC,26924640,2299011,0.037149,Financials,2524938
Huntington Ingalls Industries Inc.,HII,44641310,B40SSC9,0.037082,Industrials,461905
Ingersoll Rand Inc.,IR,45687V10,BL5GZ82,0.037024,Industrials,3847218
Baker Hughes Company Class A,BKR,05722G10,BDHLTQ5,0.036933,Energy,7245477
J.B. Hunt Transport Services Inc.,JBHT,44565810,2445416,0.036691,Industrials,952238
Raymond James Financial Inc.,RJF,75473010,2718992,0.036623,Financials,1377606
Mylan N.V.,MYL,N5946510,BVFMFG8,0.036583,Health Care,5726642
Henry Schein Inc.,HSIC,80640710,2416962,0.036328,Health Care,1649938
CenterPoint Energy Inc.,CNP,15189T10,2440637,0.03629,Utilities,5555612
Everest Re Group Ltd.,RE,G3223R10,2556868,0.035978,Financials,448063
United Airlines Holdings Inc.,UAL,91004710,B4QG225,0.035494,Industrials,2428775
ViacomCBS Inc. Class B,VIAC,92556H20,BKTNTR9,0.034458,Communication Services,5991537
United Rentals Inc.,URI,91136310,2134781,0.034204,Industrials,838916
Universal Health Services Inc. Class B,UHS,91390310,2923785,0.034183,Health Care,905408
Darden Restaurants Inc.,DRI,23719410,2289874,0.03383,Consumer Discretionary,1358895
W. R. Berkley Corporation,WRB,8442310,2093644,0.033719,Financials,1614330
Campbell Soup Company,CPB,13442910,2162845,0.033698,Consumer Staples,1880542
Iron Mountain Inc.,IRM,46284V10,BVFTF03,0.033367,Real Estate,3186868
WestRock Company,WRK,96145D10,BYR0914,0.033326,Materials,2855498
Globe Life Inc.,GL,3.80E+14,BK6YKG1,0.033263,Financials,1119022
Molson Coors Beverage Company Class B,TAP,60871R20,B067BM3,0.033117,Consumer Staples,2085970
NRG Energy Inc.,NRG,62937750,2212922,0.032747,Utilities,2820825
Carnival Corporation,CCL,14365830,2523044,0.032444,Consumer Discretionary,4428853
Regency Centers Corporation,REG,75884910,2726177,0.03236,Real Estate,1859196
MGM Resorts International,MGM,55295310,2547419,0.032141,Consumer Discretionary,5813151
Juniper Networks Inc.,JNPR,48203R10,2431846,0.031933,Information Technology,3805960
Royal Caribbean Cruises Ltd.,RCL,V7780T10,2754907,0.031777,Consumer Discretionary,1903502
Cabot Oil & Gas Corporation,COG,12709710,2162340,0.031568,Energy,4552030
Wynn Resorts Limited,WYNN,98313410,2963811,0.031546,Consumer Discretionary,1073105
Arconic Inc.,ARNC,03965L10,BD3D9G5,0.031458,Industrials,4318507
LKQ Corporation,LKQ,50188920,2971029,0.031425,Consumer Discretionary,3435754
F5 Networks Inc.,FFIV,31561610,2427599,0.031251,Information Technology,666567
Advance Auto Parts Inc.,AAP,00751Y10,2822019,0.030859,Consumer Discretionary,772947
Textron Inc.,TXT,88320310,2885937,0.030824,Industrials,2565277
ABIOMED Inc.,ABMD,365410,2003698,0.030686,Health Care,500406
DaVita Inc.,DVA,23918K10,2898087,0.030632,Health Care,1010511
PulteGroup Inc.,PHM,74586710,2708841,0.03026,Consumer Discretionary,2863070
Eastman Chemical Company,EMN,27743210,2298386,0.030054,Materials,1524697
Live Nation Entertainment Inc.,LYV,53803410,B0T7YX2,0.029728,Communication Services,1574155
Assurant Inc.,AIZ,04621X10,2331430,0.029656,Financials,684786
Albemarle Corporation,ALB,1265310,2046853,0.029558,Materials,1189271
Interpublic Group of Companies Inc.,IPG,46069010,2466321,0.029411,Communication Services,4299528
Perrigo Co. Plc,PRGO,G9782210,BGH1M56,0.029027,Health Care,1517228
Snap-on Incorporated,SNA,83303410,2818740,0.028894,Industrials,619065
Discovery Inc. Class C,DISCK,25470F30,B3D7KG4,0.028861,Communication Services,3744349
Fortune Brands Home & Security Inc.,FBHS,34964C10,B3MC7D6,0.028465,Industrials,1557770
Halliburton Company,HAL,40621610,2405302,0.028417,Energy,9805243
American Airlines Group Inc.,AAL,02376R10,BCV7KT2,0.028337,Industrials,4401788
CF Industries Holdings Inc.,CF,12526910,B0G4K50,0.028265,Materials,2433916
Vornado Realty Trust,VNO,92904210,2933632,0.02689,Real Estate,1765984
Lincoln National Corporation,LNC,53418710,2516378,0.026393,Financials,2231590
DISH Network Corporation Class A,DISH,25470M10,2303581,0.02613,Communication Services,2847839
Federal Realty Investment Trust,FRT,31374720,2333931,0.025144,Real Estate,777308
Newell Brands Inc,NWL,65122910,2635701,0.024982,Consumer Discretionary,4307031
People's United Financial Inc.,PBCT,71270410,B1W41J2,0.024677,Financials,4961185
Whirlpool Corporation,WHR,96332010,2960384,0.023896,Consumer Discretionary,698663
A. O. Smith Corporation,AOS,83186520,2816023,0.023634,Industrials,1542168
Franklin Resources Inc.,BEN,35461310,2350684,0.02355,Financials,3144213
BorgWarner Inc.,BWA,9972410,2111955,0.023481,Consumer Discretionary,2290283
Pentair plc,PNR,G7S00T10,BLS09M3,0.023426,Industrials,1873920
Robert Half International Inc.,RHI,77032310,2110703,0.023419,Industrials,1310859
Mohawk Industries Inc.,MHK,60819010,2598699,0.022585,Consumer Discretionary,667649
Apartment Investment & Management Co Class A,AIV,03748R75,BJLNBG3,0.022488,Real Estate,1657178
Comerica Incorporated,CMA,20034010,2212870,0.022481,Financials,1608899
Nielsen Holdings Plc,NLSN,G6518L10,BWFY550,0.022182,Industrials,3907344
Rollins Inc.,ROL,77571110,2747305,0.021736,Industrials,1569477
Kimco Realty Corporation,KIM,49446R10,2491594,0.021564,Real Estate,4633966
Zions Bancorporation N.A.,ZION,98970110,2989828,0.021413,Financials,1903165
Quanta Services Inc.,PWR,7.48E+14,2150204,0.020866,Industrials,1611905
FLIR Systems Inc.,FLIR,30244510,2344717,0.020752,Information Technology,1494859
National Oilwell Varco Inc.,NOV,63707110,2624486,0.019687,Energy,4256916
Diamondback Energy Inc.,FANG,25278X10,B7Y8YR3,0.019393,Energy,1817949
Tapestry Inc.,TPR,87603010,BF09HX3,0.019194,Consumer Discretionary,3079941
IPG Photonics Corporation,IPGP,44980X10,2698782,0.018965,Information Technology,394384
Sealed Air Corporation,SEE,81211K10,2232793,0.018665,Materials,1739635
SL Green Realty Corp.,SLG,78440X10,2096847,0.018393,Real Estate,918750
DXC Technology Co.,DXC,23355L10,BYXD7B3,0.018377,Information Technology,2919833
Alaska Air Group Inc.,ALK,1165910,2012605,0.018322,Industrials,1371817
Fox Corporation Class B,FOX,35137L20,BJJMGY5,0.01802,Communication Services,1781883
Leggett & Platt Incorporated,LEG,52466010,2510682,0.017964,Consumer Discretionary,1441734
Invesco Ltd.,IVZ,G491BT10,B28XP76,0.017314,Financials,4293324
Xerox Holdings Corporation,XRX,98421M10,BJJD5G3,0.017151,Information Technology,2121131
Mosaic Company,MOS,61945C10,B3NPHP6,0.017123,Materials,3885598
Ralph Lauren Corporation Class A,RL,75121210,B4V9661,0.016962,Consumer Discretionary,555182
HollyFrontier Corporation,HFC,43610610,B5VX1H6,0.016615,Energy,1687587
News Corporation Class A,NWSA,65249B10,BBGVT40,0.015729,Communication Services,4176995
Norwegian Cruise Line Holdings Ltd.,NCLH,G6672110,B9CGTC3,0.015545,Consumer Discretionary,2407124
Unum Group,UNM,91529Y10,2433842,0.015182,Financials,2325629
Discovery Inc. Class A,DISCA,25470F10,B3D7K31,0.015088,Communication Services,1753613
Harley-Davidson Inc.,HOG,41282210,2411053,0.01508,Consumer Discretionary,1767882
Hanesbrands Inc.,HBI,41034510,B1BJSL9,0.014857,Consumer Discretionary,4038182
H&R Block Inc.,HRB,9367110,2105505,0.014561,Consumer Discretionary,2230591
Marathon Oil Corporation,MRO,56584910,2910970,0.014296,Energy,8963285
Flowserve Corporation,FLS,34354P10,2288406,0.014039,Industrials,1426551
Noble Energy Inc.,NBL,65504410,2640761,0.013698,Energy,5365957
TechnipFMC Plc,FTI,G8711010,BDSFG98,0.013629,Energy,4682703
L Brands Inc.,LB,50179710,B9M2WX3,0.013515,Consumer Discretionary,2501947
PVH Corp.,PVH,69365610,B3V9F12,0.013244,Consumer Discretionary,825432
Kohl's Corporation,KSS,50025510,2496113,0.013095,Consumer Discretionary,1773701
Devon Energy Corporation,DVN,25179M10,2480677,0.01308,Energy,4323184
Apache Corporation,APA,3741110,2043962,0.00987,Energy,4168502
Helmerich & Payne Inc.,HP,42345210,2420101,0.00956,Energy,1227173
Capri Holdings Limited,CPRI,G1890L10,BJ1N1M9,0.009361,Consumer Discretionary,1694341
Coty Inc. Class A,COTY,22207020,BBBSMJ2,0.009192,Consumer Staples,3347401
Nordstrom Inc.,JWN,65566410,2641827,0.008639,Consumer Discretionary,1172015
Macy's Inc,M,55616P10,2345022,0.008379,Consumer Discretionary,3431360
Gap Inc.,GPS,36476010,2360326,0.008334,Consumer Discretionary,2399326
Under Armour Inc. Class A,UAA,90431110,B0PZN11,0.00824,Consumer Discretionary,2026823
Under Armour Inc. Class C,UA,90431120,BDF9YM2,0.007772,Consumer Discretionary,2158279
Alliance Data Systems Corporation,ADS,1858110,2762030,0.007055,Information Technology,457017
News Corporation Class B,NWS,65249B20,BBGVT51,0.005175,Communication Services,1374331
