Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held
Becton Dickinson and Company,BDX,7588710,2087807,0.272433,Health Care,3021287
Automatic Data Processing Inc.,ADP,5301510,2065308,0.272117,Information Technology,4829650
Duke Energy Corporation,DUK,26441C20,B7VD3F2,0.271831,Utilities,8144540
Crown Castle International Corp,CCI,22822V10,BTGQCX1,0.270544,Real Estate,4619389
Booking Holdings Inc.,BKNG,09857L10,BDRXDB4,0.270248,Consumer Discretionary,467571
TJX Companies Inc,TJX,87254010,2989301,0.267088,Consumer Discretionary,13547066
Intuitive Surgical Inc.,ISRG,4.61E+64,2871301,0.266254,Health Care,1291582
Southern Company,SO,84258710,2829601,0.265564,Utilities,11715809
Vertex Pharmaceuticals Incorporated,VRTX,92532F10,2931034,0.265099,Health Care,2872634
Allergan plc,AGN,G0177J10,BY9D546,0.264004,Health Care,3658511
Prologis Inc.,PLD,74340W10,B44WZD7,0.263584,Real Estate,8253231
Zoetis Inc. Class A,ZTS,98978V10,B95WG16,0.257275,Health Care,5307828
Fiserv Inc.,FISV,33773810,2342034,0.256229,Information Technology,6380406
ServiceNow Inc.,NOW,81762P10,B80NXX8,0.255254,Information Technology,2106779
Advanced Micro Devices Inc.,AMD,790310,2007849,0.25487,Information Technology,13052529
Biogen Inc.,BIIB,09062X10,2455965,0.252734,Health Care,2016133
Colgate-Palmolive Company,CL,19416210,2209106,0.250587,Consumer Staples,9551503
BlackRock Inc.,BLK,09247X10,2494504,0.244737,Financials,1317431
Goldman Sachs Group Inc.,GS,38141G10,2407966,0.242588,Financials,3559434
Stryker Corporation,SYK,86366710,2853688,0.241465,Health Care,3596325
U.S. Bancorp,USB,90297330,2736035,0.236147,Financials,15877559
Northrop Grumman Corporation,NOC,66680710,2648806,0.230918,Industrials,1748907
Equinix Inc.,EQIX,29444U70,BVLZX12,0.2301,Real Estate,952620
Micron Technology Inc.,MU,59511210,2588184,0.227682,Information Technology,12365661
Chubb Limited,CB,H1467J10,B3BQMF6,0.22717,Financials,5059639
Target Corporation,TGT,8.76E+14,2259101,0.223374,Consumer Discretionary,5656070
Truist Financial Corporation,TFC,89832Q10,BKP7287,0.211115,Financials,14981246
Global Payments Inc.,GPN,37940X10,2712013,0.210255,Information Technology,3345761
CSX Corporation,CSX,12640810,2160753,0.209169,Industrials,8687445
Applied Materials Inc.,AMAT,3822210,2046552,0.208343,Information Technology,10301121
PNC Financial Services Group Inc.,PNC,69347510,2692665,0.207109,Financials,4895180
Intercontinental Exchange Inc.,ICE,45866F10,BFSSDS9,0.20398,Financials,6216502
Air Products and Chemicals Inc.,APD,915810,2011602,0.20377,Materials,2461951
Progressive Corporation,PGR,74331510,2705024,0.203574,Financials,6531446
Activision Blizzard Inc.,ATVI,00507V10,2575818,0.202549,Communication Services,8536398
Illinois Tool Works Inc.,ITW,45230810,2457552,0.201993,Industrials,3265123
Morgan Stanley,MS,61744644,2262314,0.201717,Financials,13741130
Boston Scientific Corporation,BSX,10113710,2113434,0.201116,Health Care,15570785
Deere & Company,DE,24419910,2261203,0.200708,Industrials,3510252
Marsh & McLennan Companies Inc.,MMC,57174810,2567741,0.199248,Financials,5645122
Raytheon Company,RTN,75511150,2758051,0.197486,Industrials,3095388
Kimberly-Clark Corporation,KMB,49436810,2491839,0.195258,Consumer Staples,3830207
L3Harris Technologies Inc,LHX,50243110,BK9DTN5,0.19323,Industrials,2467462
Edwards Lifesciences Corporation,EW,2.82E+14,2567116,0.189823,Health Care,2315299
Baxter International Inc.,BAX,7181310,2085102,0.187628,Health Care,5693191
Ecolab Inc.,ECL,27886510,2304227,0.185556,Materials,2791649
American Electric Power Company Inc.,AEP,2553710,2026242,0.185546,Utilities,5517827
Illumina Inc.,ILMN,45232710,2613990,0.185242,Health Care,1642076
Humana Inc.,HUM,44485910,2445063,0.185169,Health Care,1479380
Newmont Corporation,NEM,65163910,2636607,0.180719,Materials,9105558
Charles Schwab Corporation,SCHW,80851310,2779397,0.179348,Financials,12771713
Aon plc,AON,G0408V10,B5BT0K0,0.17804,Financials,2613755
Estee Lauder Companies Inc. Class A,EL,51843910,2320524,0.176783,Consumer Staples,2486083
Norfolk Southern Corporation,NSC,65584410,2641894,0.175923,Industrials,2912810
Sherwin-Williams Company,SHW,82434810,2804211,0.175416,Materials,915427
Waste Management Inc.,WM,94106L10,2937667,0.1748,Industrials,4353160
Lam Research Corporation,LRCX,51280710,2502247,0.172495,Information Technology,1611777
Moody's Corporation,MCO,61536910,2252058,0.167284,Financials,1814004
Regeneron Pharmaceuticals Inc.,REGN,75886F10,2730190,0.165667,Health Care,891004
Dollar General Corporation,DG,25667710,B5B1S13,0.164164,Consumer Discretionary,2841909
Exelon Corporation,EXC,30161N10,2670519,0.162758,Utilities,10820551
Autodesk Inc.,ADSK,5276910,2065159,0.161876,Information Technology,2447662
ConocoPhillips,COP,20825C10,2685717,0.161687,Energy,12256777
Digital Realty Trust Inc.,DLR,25386810,B03GQS4,0.161379,Real Estate,2926782
Sempra Energy,SRE,81685110,2138158,0.160023,Utilities,3149454
Walgreens Boots Alliance Inc,WBA,93142710,BTN1Y44,0.157246,Consumer Staples,8375647
Analog Devices Inc.,ADI,3265410,2032067,0.1569,Information Technology,4120867
Centene Corporation,CNC,15135B10,2807061,0.155285,Health Care,6479353
